country,code ,Deaths_5_14
Afghanistan,AFG,9.767278214
Algeria,DZA,0.009205834
American Samoa,ASM,0.013904896
Angola,AGO,54.81534943
Argentina,ARG,0.003162935
Armenia,ARM,0.001080305
Azerbaijan,AZE,0.010821327
Bangladesh,BGD,8.791485847
Belize,BLZ,0.087645221
Benin,BEN,175.2104284
Bermuda,BMU,0.000466605
Bhutan,BTN,27.8386212
Bolivia,BOL,0.295458644
Botswana,BWA,2.091965767
Brazil,BRA,0.102251663
Burkina Faso,BFA,326.2161831
Burundi,BDI,141.6163156
Cambodia,KHM,34.94467615
Cameroon,CMR,217.9180826
Cape Verde,CPV,0.104843589
Central African Republic,CAF,166.4002904
Chad,TCD,77.83158399
China,CHN,0.010070685
Colombia,COL,0.376117122
Comoros,COM,1.065599044
Congo,COG,106.7650313
Costa Rica,CRI,0.003335245
Cote d'Ivoire,CIV,286.0537697
Democratic Republic of Congo,COD,229.0230834
Djibouti,DJI,0.173645187
Dominican Republic,DOM,0.01115856
Ecuador,ECU,0.117277912
Egypt,EGY,0.000344583
El Salvador,SLV,0.007470618
Equatorial Guinea,GNQ,274.5578603
Eritrea,ERI,15.58067869
Ethiopia,ETH,3.451959655
Gabon,GAB,97.07790339
Gambia,GMB,35.98218819
Georgia,GEO,0.002393265
Ghana,GHA,191.2291745
Guam,GUM,0.102026269
Guatemala,GTM,0.187645833
Guinea,GIN,249.4864997
Guinea-Bissau,GNB,49.33090863
Guyana,GUY,2.996525272
Haiti,HTI,0.113890765
Honduras,HND,1.042891185
India,IND,23.51138087
Indonesia,IDN,3.224298441
Iran,IRN,0.009600981
Kenya,KEN,12.25756192
Kyrgyzstan,KGZ,0.003336096
Laos,LAO,0.506028649
Liberia,LBR,170.9851721
Madagascar,MDG,56.90865791
Malawi,MWI,113.3527245
Malaysia,MYS,0.075473125
Mali,MLI,302.8352943
Mauritania,MRT,14.74056696
Mauritius,MUS,0.001095406
Mexico,MEX,0.004576838
Mozambique,MOZ,178.8528179
Myanmar,MMR,36.40662741
Namibia,NAM,12.95190682
Nepal,NPL,19.59232952
Nicaragua,NIC,0.057895174
Niger,NER,337.3843864
Nigeria,NGA,247.4879037
North Korea,PRK,0.006940704
Northern Mariana Islands,MNP,0.037154219
Pakistan,PAK,47.03512901
Panama,PAN,0.005001821
Papua New Guinea,PNG,30.42963395
Paraguay,PRY,0.005641379
Peru,PER,0.043519969
Philippines,PHL,0.244975495
Puerto Rico,PRI,0.001161158
Rwanda,RWA,50.81201986
Sao Tome and Principe,STP,0.178488061
Saudi Arabia,SAU,0.017273645
Senegal,SEN,55.02938454
Sierra Leone,SLE,337.8071753
Solomon Islands,SLB,0.332576398
Somalia,SOM,33.33720971
South Africa,ZAF,1.68034949
South Korea,KOR,0.001562788
South Sudan,SSD,52.1396115
Sri Lanka,LKA,0.13802321
Sudan,SDN,15.80842256
Suriname,SUR,0.557277925
Swaziland,SWZ,0.055118143
Tajikistan,TJK,0.740923183
Tanzania,TZA,59.41824275
Thailand,THA,0.084546021
Timor,TLS,0.458342419
Togo,TGO,231.8997077
Turkey,TUR,0.004786763
Uganda,UGA,161.6616148
United States Virgin Islands,VIR,0.000469141
Uzbekistan,UZB,0.003693703
Vanuatu,VUT,0.187826398
Venezuela,VEN,0.107559951
Vietnam,VNM,2.306747907
World,OWID_WRL,35.72970832
Yemen,YEM,0.014425287
Zambia,ZMB,57.55019486
Zimbabwe,ZWE,28.14992914
